participant_id,condition,stimulus,pressed_key,correct_key,reaction_time_in_s,timestamp_start,timestamp_end
5,2,blue-yellow,J,J,0.6725943088531494,1619725856.311093,1619726041.253542
5,2,yellow-yellow,J,J,1.2131989002227783,1619725856.311093,1619726041.253542
5,2,blue-yellow,J,J,0.7164814472198486,1619725856.311093,1619726041.253542
5,2,blue-yellow,J,J,0.8463666439056396,1619725856.311093,1619726041.253542
5,2,yellow-blue,F,F,0.9065694808959961,1619725856.311093,1619726041.253542
5,2,blue-blue,F,F,0.8973641395568848,1619725856.311093,1619726041.253542
5,2,yellow-blue,F,F,0.7952136993408203,1619725856.311093,1619726041.253542
6,1,yellow,J,J,4.207051753997803,1619726131.954394,1619726309.273676
6,1,blue,F,F,2.576152801513672,1619726131.954394,1619726309.273676
6,1,yellow,J,J,1.126882791519165,1619726131.954394,1619726309.273676
6,1,blue,F,F,0.9369921684265137,1619726131.954394,1619726309.273676
6,1,yellow,J,J,1.0179946422576904,1619726131.954394,1619726309.273676
6,1,blue,F,F,0.6545782089233398,1619726131.954394,1619726309.273676
6,1,blue,F,F,3.2600009441375732,1619726131.954394,1619726309.273676
6,1,blue,F,F,2.5942206382751465,1619726131.954394,1619726309.273676
6,1,yellow,J,J,1.3915586471557617,1619726131.954394,1619726309.273676
6,1,yellow,J,J,3.8559720516204834,1619726131.954394,1619726309.273676
6,2,yellow-blue,F,F,3.6549630165100098,1619726131.954394,1619726309.273676
6,2,yellow-blue,F,F,4.427766799926758,1619726131.954394,1619726309.273676
6,2,yellow-yellow,J,J,1.9296929836273193,1619726131.954394,1619726309.273676
6,2,yellow-yellow,J,J,2.429215431213379,1619726131.954394,1619726309.273676
6,2,yellow-yellow,J,J,2.4005606174468994,1619726131.954394,1619726309.273676
6,2,blue-blue,F,F,1.916529893875122,1619726131.954394,1619726309.273676
6,2,yellow-yellow,J,J,1.3850395679473877,1619726131.954394,1619726309.273676
6,2,blue-yellow,J,J,2.091064453125,1619726131.954394,1619726309.273676
6,2,blue-yellow,J,J,1.893179178237915,1619726131.954394,1619726309.273676
6,2,yellow-blue,F,F,1.248169183731079,1619726131.954394,1619726309.273676
